場所,日付,目的,取得した商品名,商品名,ジャンル,1個あたりの値段,個数,合計の割引,金額
イオン,2023-12-24,家族,絹厚揚げ,厚揚げ,加工品,98,2,40,168
イオン,2023-12-24,家族,がんもセット,おでん,加工品,238,2,144,359
イオン,2023-12-24,家族,BP油揚げ,油揚げ,加工品,98,1,20,84
イオン,2023-12-24,家族,国産大豆の田舎がんも,油揚げ,加工品,178,2,178,192
イオン,2023-12-24,家族,ブロッコリー,ブロッコリー,野菜,148,2,0,320
イオン,2023-12-24,家族,肉いおでん,おでん,加工品,150,1,0,162
イオン,2023-12-24,家族,昭和贅沢餃子,餃子,加工品,338,1,169,183
イオン,2023-12-24,家族,大根,大根,野菜,60,1,0,65
イオン,2023-12-24,家族,グリーンオーク,グリーンオーク,野菜,80,2,0,173
イオン,2023-12-24,家族,もやし,もやし,野菜,20,1,0,22
イオン,2023-12-29,家族,作り手のたまご白774*↓,卵,乳製品,258,3,39,794
イオン,2023-12-29,家族,白ねぎ298X↓,ねぎ,野菜,298,1,15,306
イオン,2023-12-29,家族,大根,大根,野菜,158,1,8,162
イオン,2023-12-29,家族,"柿の種チョコ1,",チョコ,お菓子,100,11,55,1129
イオン,2023-12-29,家族,紅白蒲鉾詰合せ980X↓,かまぼこ,加工品,980,1,49,1005
イオン,2023-12-29,家族,BPはんぺん216X↓,はんぺん,加工品,108,2,54,175
イオン,2023-12-29,家族,鮭切身,鮭,魚類,387,1,20,396
イオン,2023-12-29,家族,"西宇和みかん箱1,",みかん,果物,1980,1,99,2031
イオン,2023-12-30,家族,上白糖1kg632X↓,砂糖,調味料,158,4,32,648
イオン,2023-12-30,家族,アキタ四葉たまご258X↓,卵,乳製品,258,1,13,265
イオン,2023-12-29,家族,BP極小粒納豆116%,納豆,加工品,58,2,6,119
イオン,2023-12-29,家族,たまねぎバラ,ねぎ,野菜,98,1,5,100
イオン,2023-12-29,家族,シャンタン,シャンタン,調味料,758,1,38,778
イオン,2023-12-29,家族,つゆの素,つゆの素,調味料,298,1,15,306
イオン,2023-12-29,家族,TVBPおろしわさ98%↓,わさび,調味料,98,1,5,100
イオン,2023-12-29,家族,柿の種チョコ,チョコ,お菓子,100,5,25,513
イオン,2023-12-29,家族,TVかんぴょう,かんぴょう,加工品,278,1,14,285
イオン,2023-12-29,家族,TV素煎りカシューナッ,カシューナッツ,お菓子,548,1,28,562
イオン,2023-12-29,家族,ピーナッツ,ピーナッツ,お菓子,218,1,11,224
イオン,2023-12-29,家族,スナップえんどう,つナップえんどう,野菜,200,1,10,205
イオン,2023-12-29,家族,ブロッコリー,ブロッコリー,野菜,178,1,9,183
イオン,2023-12-29,家族,野菜,野菜,野菜,298,1,15,306
